Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HomePlanet_n,CryoSleep_n,Destination_n,VIP_n,total_consumed,total_consumed_2,been_in_RoomService,been_in_Spa,been_in_VRDeck,been_in_FoodCourt,been_in_ShoppingMall,total_consumed_3,has_consumed_high,has_consumed_low,Transported_n
23.0,218.0,0.0,2267.0,497.0,0.0,2,1,1,0,2982.0,2,1,1,0,0,1,1,1,1,0
18.0,2048.0,0.0,2.0,848.0,0.0,2,1,0,0,2898.0,2,1,1,0,0,1,1,1,1,0
20.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
20.0,173.0,436.0,258.0,0.0,0.0,2,1,0,0,867.0,1,1,0,0,1,1,2,1,1,0
62.0,0.0,633.0,0.0,0.0,338.0,0,1,0,0,971.0,1,0,0,1,1,0,1,1,1,0
26.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1
24.0,482.0,967.0,349.0,19.0,0.0,0,1,0,0,1817.0,2,1,1,0,1,1,2,1,1,0
28.0,0.0,1376.0,4.0,0.0,0.0,-1,1,0,0,1380.0,0,0,0,0,1,1,2,0,1,1
30.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1
21.0,0.0,0.0,174.90603284902085,0.0,0.0,0,0,0,0,174.90603284902085,0,0,0,0,0,1,1,0,1,1
17.0,414.0,0.0,139.0,28.0,173.0,0,1,2,0,754.0,3,1,1,1,0,1,1,1,1,0
30.0,1269.0,9.0,0.0,0.0,0.0,0,1,2,0,1278.0,1,1,0,0,1,0,1,1,1,0
47.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
22.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
43.0,0.0,124.0,0.0,3975.0,186.0,1,1,0,0,4285.0,2,0,1,1,1,0,1,1,1,0
20.0,557.0,164.0,1.0,0.0,0.0,0,1,1,0,722.0,1,1,0,0,1,1,2,1,1,0
33.0,16.0,796.0,130.0,356.0,0.0,2,1,0,0,1298.0,2,1,1,0,1,1,2,1,1,0
25.0,1339.0,1.0,360.0,0.0,0.0,0,1,0,0,1700.0,1,1,0,0,1,1,2,1,1,0
38.0,8.0,0.0,1414.0,10.0,3.0,0,1,1,0,1435.0,3,1,1,1,0,1,1,1,1,0
2.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,0,0.0,0,0,0,0,0,0,0,0,0,0
23.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1
24.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0
44.0,36.0,588.0,0.0,1675.0,3597.0,1,1,1,0,5896.0,3,1,1,1,1,0,1,1,1,0
23.0,62.0,0.0,0.0,0.0,643.0,0,1,0,0,705.0,2,1,0,1,0,0,0,1,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0
25.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1
73.0,799.0,0.0,190.0,68.0,0.0,2,1,0,0,1057.0,2,1,1,0,0,1,1,1,1,0
3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
18.0,648.0,19.0,0.0,0.0,4.0,0,1,2,0,671.0,2,1,0,1,1,0,1,1,1,1
38.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
27.0,0.0,11293.0,0.0,297.0,4736.0,1,1,0,0,16326.0,2,0,1,1,1,0,1,1,1,0
9.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0
31.0,0.0,0.0,1116.0,2.0,0.0,2,1,0,0,1118.0,1,0,1,0,0,1,1,1,1,0
50.0,2335.0,2.0,46.0,1.0,0.0,2,1,0,0,2384.0,2,1,1,0,1,1,2,1,1,0
21.0,102.0,9.0,21.0,464.0,104.0,0,1,1,0,700.0,3,1,1,1,1,1,2,1,1,0
14.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
62.0,0.0,0.0,0.0,0.0,0.0,2,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0
28.0,213.0,451.96167494677076,1317.0,199.0,0.0,0,1,2,0,2180.9616749467705,2,1,1,0,1,1,2,1,1,0
15.0,0.0,398.0,0.0,467.0,0.0,0,1,0,0,865.0,1,0,1,0,1,0,1,1,1,0
25.0,987.0,0.0,6221.0,141.0,0.0,2,1,0,0,7349.0,2,1,1,0,0,1,1,1,1,1
19.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
29.0,87.0,1192.0,67.0,0.0,3.0,2,1,0,0,1349.0,2,1,0,1,1,1,2,1,1,0
4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
49.0,0.0,1757.0,0.0,797.0,567.0,1,1,0,0,3121.0,2,0,1,1,1,0,1,1,1,1
29.0,0.0,61.0,942.0,2.0,0.0,0,1,-1,0,1005.0,1,0,1,0,1,1,2,1,1,1
28.0,222.89785157787045,0.0,887.0,0.0,0.0,0,1,0,0,1109.8978515778704,1,1,0,0,0,1,1,1,1,1
19.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
3.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
30.0,0.0,451.96167494677076,0.0,0.0,0.0,0,0,0,0,451.96167494677076,0,0,0,0,1,0,1,0,1,0
44.0,0.0,1.0,574.0,1788.0,0.0,0,1,0,0,2363.0,1,0,1,0,1,1,2,1,1,0
28.771968503937007,1722.0,4.0,937.0,0.0,0.0,2,1,1,0,2663.0,1,1,0,0,1,1,2,1,1,0
17.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
23.0,0.0,784.0,174.90603284902085,0.0,1.0,0,1,0,0,959.9060328490209,1,0,0,1,1,1,2,1,1,0
34.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0
36.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
11.0,0.0,0.0,0.0,0.0,0.0,2,-1,0,0,0.0,0,0,0,0,0,0,0,0,0,1
28.771968503937007,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,1
18.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
33.0,0.0,1554.0,3813.0,0.0,1435.0,1,1,0,0,6802.0,1,0,0,1,1,1,2,1,1,1
19.0,0.0,725.0,0.0,20.0,0.0,0,1,0,0,745.0,1,0,1,0,1,0,1,1,1,0
30.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
8.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0
57.0,3.0,1281.0,29.0,162.0,13.0,0,1,1,0,1488.0,3,1,1,1,1,1,2,1,1,0
26.0,0.0,3.0,176.0,611.0,0.0,0,1,0,0,790.0,1,0,1,0,1,1,2,1,1,0
10.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0
30.0,616.0,0.0,185.0,210.0,475.0,2,1,0,0,1486.0,3,1,1,1,0,1,1,1,1,0
19.0,0.0,11.0,413.0,232.0,1885.0,0,1,1,0,2541.0,2,0,1,1,1,1,2,1,1,0
19.0,1.0,0.0,711.0,0.0,12.0,0,1,0,0,724.0,2,1,0,1,0,1,1,1,1,0
29.0,1050.0,3.0,14.0,58.0,0.0,0,1,0,0,1125.0,2,1,1,0,1,1,2,1,1,0
28.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
41.0,338.0,0.0,377.0,2.0,86.0,0,1,0,0,803.0,3,1,1,1,0,1,1,1,1,1
0.0,0.0,0.0,0.0,308.4769036733407,0.0,0,1,0,0,308.4769036733407,1,0,1,0,0,0,0,1,0,0
38.0,936.0,0.0,363.0,0.0,0.0,2,1,0,1,1299.0,1,1,0,0,0,1,1,1,1,0
2.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0
